                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3744,                 1.4023,                 1.4282,                0.39762,                0.33364,                0.31114,                0.16015,                  1.638,                 1.6772,                  1.726,               0.004555,               0.004555,               0.004555
                     35,                 1.3673,                 1.4206,                 1.4502,                0.38796,                0.33009,                0.31469,                0.15893,                 1.6508,                 1.7064,                 1.7324,                0.00439,                0.00439,                0.00439
                     36,                 1.3528,                 1.3985,                 1.4245,                0.40382,                0.33388,                0.30873,                0.15569,                 1.6524,                 1.7002,                 1.7248,               0.004225,               0.004225,               0.004225
                     37,                 1.3423,                 1.3649,                 1.4157,                0.40033,                0.33007,                0.31415,                0.16085,                 1.6497,                  1.678,                 1.7327,                0.00406,                0.00406,                0.00406
                     38,                 1.3359,                 1.3606,                 1.4127,                0.38574,                0.34114,                0.31309,                 0.1594,                 1.6681,                 1.7025,                 1.7466,               0.003895,               0.003895,               0.003895
                     39,                 1.3254,                  1.344,                 1.4125,                0.43098,                0.33241,                0.33057,                0.16836,                 1.6453,                 1.6628,                 1.7212,                0.00373,                0.00373,                0.00373
                     40,                 1.3089,                 1.3251,                 1.3999,                0.41993,                0.33237,                0.31853,                0.16161,                 1.6661,                 1.7079,                 1.7455,               0.003565,               0.003565,               0.003565
                     41,                 1.3071,                 1.2988,                  1.391,                0.40726,                0.34984,                0.32949,                0.16996,                  1.657,                 1.6938,                 1.7466,                 0.0034,                 0.0034,                 0.0034
                     42,                  1.288,                 1.2708,                 1.3772,                0.41507,                0.33464,                0.31157,                0.16023,                 1.6935,                 1.7403,                 1.7678,               0.003235,               0.003235,               0.003235
                     43,                 1.2888,                 1.2792,                 1.3824,                0.39641,                0.35277,                0.32207,                0.16156,                 1.6617,                 1.6865,                  1.741,                0.00307,                0.00307,                0.00307
                     44,                 1.2891,                 1.2746,                 1.3876,                 0.4314,                0.32722,                0.32303,                0.16555,                 1.6872,                 1.6887,                 1.7558,               0.002905,               0.002905,               0.002905
                     45,                 1.2608,                 1.2336,                  1.359,                0.40517,                0.36176,                0.33617,                0.17131,                  1.664,                 1.6649,                 1.7496,                0.00274,                0.00274,                0.00274
                     46,                 1.2632,                 1.2281,                 1.3646,                0.39728,                0.35574,                0.32909,                0.16885,                  1.702,                 1.7049,                  1.785,               0.002575,               0.002575,               0.002575
                     47,                 1.2509,                 1.2302,                 1.3622,                0.42429,                0.34063,                0.32222,                0.16477,                 1.7025,                 1.6926,                  1.783,                0.00241,                0.00241,                0.00241
                     48,                  1.249,                 1.2132,                  1.354,                0.39946,                0.35977,                0.32838,                 0.1668,                 1.6941,                 1.6964,                 1.7837,               0.002245,               0.002245,               0.002245
                     49,                 1.2298,                 1.1884,                 1.3544,                0.41756,                0.34636,                0.32553,                0.16726,                 1.6855,                 1.6921,                 1.7798,                0.00208,                0.00208,                0.00208
                     50,                 1.2346,                 1.1181,                 1.3966,                0.39591,                0.35469,                0.32507,                 0.1644,                 1.6986,                 1.6876,                  1.775,               0.001915,               0.001915,               0.001915
                     51,                 1.2031,                 1.0942,                 1.3922,                0.43555,                0.33242,                0.32818,                0.16654,                 1.7174,                 1.7222,                 1.7972,                0.00175,                0.00175,                0.00175
                     52,                 1.1781,                 1.0521,                  1.358,                0.41573,                0.34526,                0.32686,                0.16577,                  1.698,                 1.6686,                 1.7842,               0.001585,               0.001585,               0.001585
                     53,                 1.1734,                 1.0444,                 1.3503,                0.43316,                0.33662,                0.33278,                0.16761,                 1.7037,                 1.6946,                 1.7872,                0.00142,                0.00142,                0.00142
                     54,                  1.158,                 1.0107,                 1.3457,                0.41726,                0.34055,                0.32444,                0.16489,                 1.7073,                 1.6977,                 1.8058,               0.001255,               0.001255,               0.001255
                     55,                  1.137,                0.97919,                 1.3258,                0.41221,                0.35115,                0.32569,                0.16593,                 1.7065,                 1.6867,                 1.8032,                0.00109,                0.00109,                0.00109
                     56,                 1.1289,                0.97418,                 1.3282,                0.41643,                0.34498,                0.32196,                0.16546,                 1.7217,                 1.7036,                  1.824,               0.000925,               0.000925,               0.000925
                     57,                 1.1146,                0.95698,                 1.3208,                0.40395,                0.36183,                0.32238,                0.16387,                  1.718,                 1.7054,                 1.8223,                0.00076,                0.00076,                0.00076
                     58,                 1.0991,                0.94284,                 1.3111,                0.40654,                0.35751,                0.32172,                0.16433,                 1.7261,                 1.7018,                 1.8395,               0.000595,               0.000595,               0.000595
                     59,                 1.0859,                0.92134,                 1.2984,                0.42946,                0.33819,                0.32229,                0.16506,                 1.7373,                 1.7065,                 1.8469,                0.00043,                0.00043,                0.00043
