               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.039056,             0.03613,            0.017064,             0.44364,             0.32999,              0.3188,             0.14658,             0.04965,            0.033682,            0.024057,             0.00406,             0.00406,             0.00406
                  38,            0.038575,            0.036237,            0.016635,              0.4213,             0.34159,             0.32214,             0.14927,             0.04945,            0.033485,            0.024133,            0.003895,            0.003895,            0.003895
                  39,            0.038409,            0.035527,             0.01628,             0.44896,             0.31626,             0.31422,             0.14681,            0.049821,               0.033,            0.024357,             0.00373,             0.00373,             0.00373
                  40,            0.037785,            0.034807,            0.016289,             0.44725,             0.32591,             0.31702,             0.14927,            0.049825,            0.034164,            0.024306,            0.003565,            0.003565,            0.003565
                  41,            0.037862,            0.035232,            0.016239,              0.4687,             0.31909,             0.32244,             0.15172,            0.049881,            0.034818,            0.024012,              0.0034,              0.0034,              0.0034
                  42,            0.037335,            0.035122,            0.015576,              0.4164,             0.34711,             0.31438,             0.14786,            0.049842,            0.034132,            0.024369,            0.003235,            0.003235,            0.003235
                  43,            0.037394,            0.034382,            0.015719,             0.42473,             0.32768,             0.31418,             0.14842,            0.050179,            0.034608,            0.024475,             0.00307,             0.00307,             0.00307
                  44,            0.036926,            0.034151,            0.015814,             0.43134,             0.33052,             0.31113,             0.14688,            0.050016,            0.034703,            0.024616,            0.002905,            0.002905,            0.002905
                  45,            0.036642,            0.033316,            0.015717,              0.4535,             0.32682,             0.31521,             0.14551,             0.05004,            0.035463,            0.024953,             0.00274,             0.00274,             0.00274
                  46,            0.036584,             0.03401,            0.015665,             0.42714,             0.33381,             0.31353,             0.14607,            0.050353,            0.035194,            0.024482,            0.002575,            0.002575,            0.002575
                  47,            0.036256,            0.032849,            0.015378,             0.42811,              0.3258,             0.31707,             0.14889,             0.05021,            0.035725,            0.024768,             0.00241,             0.00241,             0.00241
                  48,             0.03586,            0.033463,            0.015165,             0.44771,             0.32871,             0.31958,             0.14964,            0.050164,            0.036009,            0.024831,            0.002245,            0.002245,            0.002245
                  49,            0.035749,            0.032302,            0.015189,             0.44648,             0.32628,             0.31284,             0.14785,            0.050243,            0.035853,            0.025102,             0.00208,             0.00208,             0.00208
                  50,            0.035543,             0.03231,            0.014983,             0.41944,             0.33231,             0.30611,             0.14636,            0.050388,            0.035806,            0.025251,            0.001915,            0.001915,            0.001915
                  51,            0.035095,            0.032109,            0.014837,             0.43735,             0.32413,             0.31459,              0.1507,            0.050249,             0.03648,            0.025186,             0.00175,             0.00175,             0.00175
                  52,            0.035233,            0.032239,            0.014733,             0.43211,             0.33056,             0.31607,              0.1499,            0.050482,            0.036958,            0.025324,            0.001585,            0.001585,            0.001585
                  53,            0.034884,            0.031623,            0.014608,             0.44887,             0.33442,             0.31265,             0.15033,            0.050588,            0.036834,             0.02555,             0.00142,             0.00142,             0.00142
                  54,             0.03427,            0.030835,            0.014519,             0.44753,             0.32078,             0.31381,             0.15058,            0.050645,            0.037767,             0.02566,            0.001255,            0.001255,            0.001255
                  55,            0.034002,            0.030828,            0.014668,              0.4538,             0.32542,             0.32197,             0.15327,            0.050661,            0.037645,             0.02561,             0.00109,             0.00109,             0.00109
                  56,            0.033797,            0.030673,            0.014399,             0.45681,             0.32796,             0.31888,             0.15212,            0.050797,            0.037636,            0.025812,            0.000925,            0.000925,            0.000925
                  57,            0.033733,            0.030977,            0.014374,             0.43845,               0.336,             0.31516,             0.15198,            0.050719,            0.037477,            0.025547,             0.00076,             0.00076,             0.00076
                  58,            0.033534,            0.030486,            0.014562,             0.45259,             0.32467,             0.31382,             0.14957,            0.050797,             0.03793,            0.025652,            0.000595,            0.000595,            0.000595
                  59,            0.033366,            0.030536,            0.014224,             0.46108,             0.32753,             0.31709,              0.1512,            0.050917,            0.038326,             0.02605,             0.00043,             0.00043,             0.00043
